,med_age_weight,med_income_weight,month_housing_costs_weight,total_pop,med_age,med_income,month_housing_costs,Against Family/Child,Aggravated Assault,Burglary,Disorderly Conduct,Disturbing the Peace,Driving Under Influence,Drunkeness,Federal Offenses,Forgery/Counterfeit,Fraud/Embezzlement,Gambling,Homicide,Larceny,Liquor Laws,Miscellaneous Other Violations,Moving Traffic Violations,Narcotic Drug Laws,Non-Criminal Detention,Other Assaults,Pre-Delinquency,Prostitution/Allied,Rape,Receive Stolen Property,Robbery,Sex (except rape/prst),Vehicle Theft,Weapon (carry/poss),General Mental Health Program,General Mental Health Resource,Substance Abuse Program
91330,62983.8,14285871.0,5267736.0,3181.0,19.8,4491.0,1656.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91331,4380239.8,3038383453.0,-29790123331.0,125233.0,34.97672179058235,24261.843547627224,-237877.58283359816,20.0,112.0,14.0,,,174.0,,,2.0,8.0,1.0,6.0,25.0,,141.0,41.0,40.0,,88.0,,4.0,1.0,3.0,26.0,7.0,59.0,48.0,4.0,10.0,1.0
91333,114225.6,80011800.0,5477800.0,3592.0,31.8,22275.0,1525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91335,1970613.6,1514326738.0,99185642.0,50121.0,39.31712455856827,30213.41828774366,1978.9238442968017,10.0,99.0,25.0,2.0,,84.0,,,13.0,12.0,,1.0,15.0,,77.0,24.0,70.0,1.0,61.0,,,2.0,5.0,19.0,9.0,44.0,24.0,2.0,5.0,
91340,2008772.0,1553068610.0,97667252.0,58216.0,34.50549677064725,26677.693589391234,1677.6702624707984,3.0,13.0,7.0,,,19.0,,,,1.0,,,2.0,,14.0,5.0,4.0,,9.0,,,,,6.0,1.0,6.0,7.0,1.0,6.0,
91341,231545.40000000002,147913254.0,9069396.0,6414.0,36.1,23061.0,1414.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91342,4445775.7,3467570023.0,-29767470841.0,123446.0,36.013930787550834,28089.772232393112,-241137.58923739934,18.0,84.0,16.0,1.0,,56.0,,,,7.0,1.0,1.0,10.0,,67.0,17.0,39.0,,65.0,,3.0,4.0,1.0,6.0,1.0,31.0,20.0,1.0,13.0,
91343,2687055.5,-41064925167.0,-43192332214.0,74908.0,35.87140892828536,-548204.8001148074,-576605.0650664816,11.0,79.0,14.0,,,78.0,,,1.0,9.0,3.0,4.0,10.0,,60.0,23.0,45.0,1.0,37.0,,3.0,1.0,1.0,17.0,2.0,38.0,21.0,2.0,11.0,1.0
91344,2349120.5,2343540971.0,139126813.0,53153.0,44.1954452241642,44090.47412187459,2617.4780915470433,7.0,31.0,2.0,,,32.0,,,1.0,5.0,,1.0,6.0,,31.0,8.0,9.0,,22.0,,,1.0,1.0,7.0,,6.0,5.0,1.0,7.0,
91345,1323926.4000000001,981716147.0,64490345.0,35769.0,37.01323492409629,27446.004836590342,1802.967513768906,2.0,19.0,7.0,,,34.0,,,1.0,4.0,,2.0,7.0,,31.0,13.0,17.0,4.0,24.0,,,,,5.0,1.0,18.0,7.0,1.0,3.0,
91346,126261.90000000001,69226991.0,4094909.0,2647.0,47.7,26153.0,1547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91350,2742967.8,3230002811.0,164685648.0,68694.0,39.93023844877282,47020.15912597898,2397.380382566163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
91351,2192382.4,2424968162.0,127350567.0,58446.0,37.51124798959723,41490.746364165214,2178.9441022482292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91352,2689590.9,1927714970.0,130600314.0,71348.0,37.69679458429108,27018.48643269608,1830.4691652183662,15.0,50.0,8.0,1.0,1.0,61.0,1.0,,1.0,6.0,,1.0,7.0,,49.0,23.0,33.0,1.0,40.0,,4.0,2.0,2.0,7.0,,44.0,32.0,,4.0,
91353,81170.8,51822400.0,4010948.0,2644.0,30.700000000000003,19600.0,1517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91354,1162196.7,1532965999.0,69602350.0,30226.0,38.45023158869847,50716.80007278502,2302.731092436975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91355,2156805.8,2790304136.0,134795921.0,55803.0,38.650355715642526,50002.76214540437,2415.567639732631,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
91356,1959680.7,2158427146.0,125385161.0,45717.0,42.865470175208344,47212.79055931054,2742.6375527703044,2.0,27.0,7.0,,,8.0,,,,7.0,,1.0,8.0,,31.0,,17.0,,15.0,,,,,8.0,1.0,12.0,10.0,1.0,2.0,
91357,109223.2,100010136.0,3901184.0,2488.0,43.9,40197.0,1568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91361,185082.80000000002,211121008.0,9235520.0,3724.0,49.7,56692.0,2480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91362,324378.8,428870760.0,17444672.0,6772.0,47.9,63330.0,2576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91364,1718303.6,2251679179.0,119684367.0,38840.0,44.24056642636457,57973.20234294542,3081.471858908342,,16.0,2.0,,,12.0,,,1.0,1.0,,,10.0,,16.0,1.0,14.0,,11.0,,8.0,,,5.0,2.0,14.0,8.0,1.0,3.0,
91365,123009.6,158782800.0,7628478.0,3138.0,39.2,50600.0,2431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91367,2353652.5,2743942337.0,149286131.0,53868.0,43.69296242667261,50938.2627348333,2771.332349446796,5.0,26.0,9.0,,,5.0,,1.0,,4.0,,3.0,22.0,,25.0,5.0,7.0,,14.0,,1.0,,,1.0,3.0,10.0,9.0,1.0,1.0,
91371,167442.0,248255598.0,12816924.0,5074.0,33.0,48927.0,2526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91372,223475.19999999998,235367860.0,11703692.0,4108.0,54.4,57295.0,2849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91380,168977.9,182781256.0,9987726.0,4193.0,40.3,43592.0,2382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91381,773490.3999999999,1220102749.0,60285204.0,19740.0,39.183910840932114,61808.64989868288,3053.9617021276595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91383,131300.4,115942464.0,6377448.0,3828.0,34.3,30288.0,1666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91384,1378627.1,1725465980.0,-3639917969120.0,37780.0,36.49092376919005,45671.41291688724,-96345102.41185813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91385,239397.40000000002,226339360.0,11652242.0,5882.0,40.7,38480.0,1981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91387,1376497.0,1761745214.0,91645902.0,36936.0,37.26708360407191,47697.23884557072,2481.208089668616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91390,1300843.5,1536299870.0,77812132.0,33148.0,39.243498853626164,46346.68366115603,2347.4155906842043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91392,211715.00000000003,201234450.0,10914500.0,6575.0,32.2,30606.0,1660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91393,180327.6,161698842.0,10671930.0,5094.0,35.4,31743.0,2095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91394,239939.69999999998,246690451.0,12847121.0,5593.0,42.9,44107.0,2297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91395,108166.7,89395710.0,6634626.0,3013.0,35.9,29670.0,2202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91396,163422.59999999998,103118310.0,7707424.0,4502.0,36.3,22905.0,1712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91401,2678073.0,2343560758.0,119183689.0,72312.0,37.03497344839031,32409.01590330789,1648.1868707821661,9.0,58.0,17.0,2.0,,50.0,1.0,,5.0,6.0,,1.0,10.0,,102.0,11.0,43.0,,38.0,,16.0,3.0,4.0,17.0,9.0,6.0,20.0,2.0,7.0,
91402,3085624.3,2136507712.0,138656361.0,90141.0,34.23108574344638,23701.84169245959,1538.2163610343794,15.0,83.0,8.0,1.0,,62.0,,,2.0,5.0,,1.0,16.0,,87.0,26.0,51.0,2.0,58.0,,2.0,5.0,3.0,18.0,5.0,45.0,15.0,,2.0,
91403,1585583.3,2328278285.0,95079912.0,39223.0,40.42483491828774,59360.02562272136,2424.08566402366,,18.0,3.0,,,29.0,1.0,,2.0,3.0,,,5.0,,12.0,1.0,8.0,,11.0,,,1.0,,2.0,,,7.0,2.0,1.0,2.0
